"Nom","Adresse","Telephone","Lien","Entreprise"
"NXO  ","133 BD NATIONALRUEIL MALMAISON  92500 ","+33821201201","www.nxo.eu","Cisco"
"ADISTA","9 R BLAISE PASCALMAXEVILLE  54320 MEURTHE-ET ","+33357545400","www.adista.fr","Cisco"
"BT  ","5 PL DE LA PYRAMIDE5  place de de la PyramideBP 22PARIS LA DEFENSE CEDEX  92088 HAUTS-DE-S ","+33178412000","www.bt.com/france","Cisco"
"Stordata","28 RUE ST HONOREVERSAILLES  78000 YVELINES ","+33130214242","www.stordata.fr","Cisco"
"ACCESS DIFFUSION","PAE DES GLAISINS3 RUE DU BULLOZANNECY LE VIEUX  74940 HAUTE-SAVO ","+33450641094","www.access-group.fr","Cisco"
"Zenconnect","233 Rue Etienne MarcelMONTREUIL  93100 ","+33975185155","www.zenconnect.fr","Cisco"
"NSC Global SARL","51 rue DareauParis  75014 PARIS ","+33156605938","www.nscglobal.com","Cisco"
"ACCENTURE","IMMEUBLE AXE  118 AVENUE DE FRANCEPARIS 13  75013FRANCE","","www.accenture.com","Cisco"
"BLACK BOX  ","46 R DE LA COUTURESILIC 195 RUNGIS  94653 VAL-DE-MAR ","441189656088","www.blackbox.com","Cisco"
"NTT France SAS","13 CRS VALMYET 9 PARIS LA DEFENSE CEDEX  92977 ","+33149758600","www.global.ntt","Cisco"
"NEC France","29 R DES HAUTES PATURESNANTERRE  92000 HAUTS-DE-S ","+33610789544","https://fr.nec.com/","Cisco"
"ORANGE BUSINESS SERVICES","1-5 avenue Nelson MandelaArcueil  94745 ","","www.orange-business.com","Cisco"
"KYNDRYL   SAS","17  AVENUE DE L'EUROPEBOIS COLOMBES CEDEX  92275 ","+33158750000","https://www.kyndryl.com/us/en","Cisco"
"NTT France SAS","3 R DE SAARINENRUNGIS CEDEX 1  94618 ","+33149758600","www.global.ntt","Cisco"
"ITALTEL  ","11 AVENUE DUBONNET IMMEUBLE LE DOUBLON BATIMENT BCOURBEVOIE  92400 HAUTS-DE-S ","+33170991200","http://www.italtel.com/fr","Cisco"
"TATA COMMUNICATIONS   SAS","3-5 R SAINT GEORGESPARIS  75009 ","+33171156900","www.tatacommunications.com","Cisco"
"AXIANS","2169 BD DE LA DEFENSEIMMEUBLE TONGANANTERRE CEDEX  92741 ","+33157986870","WWW.AXIANS.COM","Cisco"
"ACTIVEO","41 R CAMILLE DESMOULINSISSY LES MOULINEAUX  92130 ","+33155005600","www.activeo.com","Cisco"
"HCL TECHNOLOGIES LTD","4 PLACE DE LA DEFENSEPARIS LA DEFENSE  92974 HAUTS-DE-S ","333301585800","www.hcl.com","Cisco"
"IBM","17 avenue de l'EuropeBois-Colombes  92270 HAUTS-DE-S ","+33158750000","http://www.ibm.com/fr/","Cisco"
"BERGER LEVRAULT","64 R JEAN ROSTANDLABEGE  31670 ","+33820875875","www.berger-levrault.com","Cisco"
"SPIE ICS SAS","148 AV PIERRE BROSSOLETTEMALAKOFF  92240 ","+33141464146","https://fr.spie-ics.com","Cisco"
"Tata Consultancy Services  Limited","ServicesTour Franklin (19th floor) - La Défense 8100-101 Quartier BoieldieuPuteaux  92800 PARIS ","+33177683030","www.tcs.com","Cisco"
"BULL","68 AVENUE JEAN JAURESLES CLAYES SOUS BOIS  78340 YVELINES ","+33134951030","WWW.BULL.COM","Cisco"
"BECHTLE","RUE GEILER DE KAYSERSBERGILLKIRCH GRAFFENSTADEN  67400 BAS-RHIN ","+33390404545","WWW.BECHTLE.com/fr","Cisco"
"Orange Cyber Defense","54 place de l’ellipse Paris La Défense 92983 ","+33890391201","http://www.orange-business.com/fr/securite","Trellix"
"SFR Business Solutions","12 Avenue d'Oceanie Les Ulis Essonne 91940 ","+33(0)175433260","http://www.sfrbusiness.fr","Trellix"
"Atos Infogerance SAS","80 Quai Voltaire Bezons CEDEX Val-d'Oise 95877 ","+33173260000","http://www.atos.net","Trellix"
"BJ Informatique","34 Rue Jean Pierre Bredy Villeurbanne Yvelines 69100 ","+33472697060","http://www.bjinfo.fr","Trellix"
"SoftwareONE France SAS","120 Rue Jean Jaurès Levallois-Perret 92300 ","+33141066800","http://www.softwareone.com","Trellix"
"Cyberprotect","17 Allée des Ginkgos Bron Rhône 69500 ","+330472818600","http://www.cyberprotect.fr","Trellix"
"Abbakan","11-15 Quai du Président Paul Doumer Courbevoie Paris 92400 ","+33141761878","http://www.abbakan.com","Trellix"
"Ericsson France","25 Avenue Carnot Massy Yvelines 91300 ","","","Trellix"
"BT France","Tour Ariane la Défense Paris-La Défense CEDEX Paris 92088 ","","http://www.bt.com","Trellix"
"APIXIT","1 Avenue de l'Atlantique Les Conquérants Les Ulis Essonne 91940 ","+33169931062","http://www.apixit.fr","Trellix"
"Illico Reseau","Rue Faraday Beaucouzé Loire 49070 ","+33241275715","http://www.illico-reseau.com","Trellix"
"Risk & Co","38 Rue Jacques Ibert Levallois-Perret 92300 ","+33155242322","http://www.riskeco.com","Trellix"
"Quadria","76 Avenue Paul Kruger Villeurbanne 69100 ","+33472912323","http://www.quadria.fr","Trellix"
"Prolival","420 Rue Destienne Dorves Colombes 92700 ","+33141430840","http://www.prolival.fr","Trellix"
"Securiview SAS","9 Avenue Michelet Immeuble Axe Nord - Saint-Ouen Paris 93400 ","+3333149461313","http://www.secureview.fr","Trellix"
"MDS Informatique","10 Rue Jean Jaurès LAVELANET Ariège 09300 ","","http://www.mds-informatique.com","Trellix"
"Scalesi","35 Rue de Sanzelle Vouvray 37210 ","+33247889760","http://www.scalesi.fr","Trellix"
"Deloitte Conseil","185 Avenue Charles de Gaulle Neuilly-sur-Seine CEDEX Paris 92524 ","+33140882800","http://www.deloitte.fr","Trellix"
"Alliacom","242 Bureaux de la Colline 1 Rue Royale B Saint-Cloud CEDEX Yvelines 92213 ","","http://www.alliacom.com","Trellix"
"ATOS","ANGERS CEDEX 01 ","","http://www.atos.net","TrendMicro"
"ATOS","Paris La Défense ","","http://www.atos.net","TrendMicro"
"ATOS","Noumea ","","http://www.atos.net","TrendMicro"
"AXICOM-SECURITY","Paris ","","http://axicomsecurity.com/","TrendMicro"
"ATOS","Saint Denis ","","http://www.atos.net","TrendMicro"
"ATOS","La Reunion ","","http://www.atos.net","TrendMicro"
"ATOS","Baie-Mahault ","","http://www.atos.net","TrendMicro"
"Arrow ECS - France","TOULOUSE ","","http://www.arrowecs.fr","TrendMicro"
"Arrow ECS - France","RUNGIS CEDEX ","","http://www.arrowecs.fr","TrendMicro"
"ATOS","Angers ","","http://www.atos.net","TrendMicro"
"ACTEAM CONSEIL","CABRIES ","","http://acteamconseil.fr/","TrendMicro"
"config","Paris ","","http://www.config.fr/","TrendMicro"
"CONFIG - France","Paris ","","http://www.config.fr","TrendMicro"
"ATOS","Fort De  France","","http://www.atos.net","TrendMicro"
"ATOS","Papeete ","","http://www.atos.net","TrendMicro"
"ATOS","SECLIN ","","http://www.atos.net","TrendMicro"
"Cris Reseaux - France","Lyon ","","http://www.cris-reseaux.com","TrendMicro"
"ATOS","BEZONS ","","http://www.atos.net","TrendMicro"
"ATOS","Les Clayes Sous Bois ","","http://www.atos.net","TrendMicro"
"Maxk informatique","Obersoultzbach ","","http://Http://maxkinformatique.fr","TrendMicro"
"Arrow ECS - France","Saint Herblain ","","http://www.arrowecs.fr","TrendMicro"
"Cris Reseaux - France","AIX EN PROVENCE CEDEX 3 ","","http://www.cris-reseaux.com","TrendMicro"
"Arrow ECS - France","Courbevoie ","","http://www.arrowecs.fr","TrendMicro"
"Arrow ECS - France","LYON Cedex 03 ","","http://www.arrowecs.fr","TrendMicro"
"Novacio","Issy-les-Moulineaux ","","http://my.novacio.fr/","TrendMicro"
"Abicom Informatique","10 Allée Pierre de Fermat 63170 Aubière France","04 73 37 01 69","","WithSecure"
"DEVENSYS CYBERSECURITY","836 Rue du Mas de Verchant 34000 Montpellier France","04 67 71 77 49","https://www.devensys.com/","WithSecure"
"CAPEA","6 rue Pablo Neruda 33140 Villenave d'ornon France","+33557353434","http://www.capea.com/","WithSecure"
"AVANGARDE","1050 Route Mer 06410 Biot France","0643914628","","WithSecure"
"Diatem","2 rue de Dublin Espace Européen de l’Entreprise 67300 Schiltigheim France","03 88 22 74 20","","WithSecure"
"Devensys Cybersecurity - Paris","37 avenue Ledru-Rollin 75012 Paris France","","","WithSecure"
"Hebergement Mismo","6 RUE DU TYROL FRANCE 44240 La chapelle sur erdre France","0240729000","","WithSecure"
"Global Partner","3 Rue Edmond Michelet 93360 Neuilly-plaisance France","01 41 50 50 40","https://global-partner.fr/","WithSecure"
"Iliane Sud Ouest","31 rue d'Armagnax 33800 Bordeaux France","","","WithSecure"
"KOESIO AURA INFORMATIQUE","3 rue de l’octant   Zone Sud Galaxie 38433 Echirolles France","04 75 78 45 45","https://koesio.com/agence/aura-lyon-rhone/","WithSecure"
"KOESIO CORPORATE IT PARIS","5 Rue de Castiglione 75001 Paris France","","","WithSecure"
"ILIANE-DATCENTER-CLIENT(Do not use)","ZAC de la Lorie 49 Rue Bobby Sands 44800 Saint herblain France","0 825 095 515","","WithSecure"
"KOESIO AURA INFORMATIQUE CHAMPAGNE AU MONT D’OR","4 Chemin du Tronchon 69410 Champagne-au-mont-d'or France","04 72 52 22 22","","WithSecure"
